"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"physics/0701145","Tamas Gal","Tamas Gal","Differentiation of functionals with variables coupled by constraints:
  Analysis through a fluid-dynamical model","12 pages; with further cases of coupling added, extended opening
  discussion of constrained derivative, and some notation changed","J. Math. Phys. 48, 053520 (2007)","10.1063/1.2737265",,"physics.flu-dyn math-ph math.FA math.MP",,"  Analysing an application in liquid film dynamics, a guide for obtaining the
corresponding constrained functional derivatives for constraints coupling the
functional variables is given. The use of constrained derivatives makes the
proper account for constraints possible in time-dependent, nonequilibrium
physical theories, with physical equations not emerging as Euler-Lagrange
equations, which is especially relevant with respect to the dynamics of complex
liquids.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:59:31 GMT""},{""version"":""v2"",""created"":""Thu, 8 Mar 2007 20:58:39 GMT""}]","2007-06-01"
"physics/0701146","Michael B. Partensky","Joseph Cox, Michael B. Partensky","Spatial Localization Problem and the Circle of Apollonius","7 pages, 4 figures. Some minor changes, in response to readers'
  suggestions. A numeric error is fixed in page 2. The rest of the paper is not
  affected by this change",,,,"physics.ed-ph physics.pop-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Circle of Apollonius is named after the ancient geometrician Apollonius
of Perga. This beautiful geometric construct can be helpful when solving some
general problems of mathematical physics, optics and electricity. Here we
discuss its applications to the 'source localization' problems, e.g.
pinpointing a radioactive source using the set of Geiger counters. The Circles
of Apollonius help analyze these problems in transparent and intuitive manner.
This discussion can be useful for High School Physics and Math curriculum.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 15:48:25 GMT""},{""version"":""v10"",""created"":""Fri, 3 Apr 2009 05:34:22 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2007 16:39:32 GMT""},{""version"":""v3"",""created"":""Wed, 17 Jan 2007 20:48:17 GMT""},{""version"":""v4"",""created"":""Thu, 18 Jan 2007 09:31:56 GMT""},{""version"":""v5"",""created"":""Mon, 22 Jan 2007 17:50:21 GMT""},{""version"":""v6"",""created"":""Mon, 22 Jan 2007 22:22:10 GMT""},{""version"":""v7"",""created"":""Mon, 26 Feb 2007 02:00:48 GMT""},{""version"":""v8"",""created"":""Thu, 12 Apr 2007 18:38:49 GMT""},{""version"":""v9"",""created"":""Mon, 28 Jul 2008 16:35:20 GMT""}]","2009-04-03"
"physics/0701147","Arthur Peeters Dr.","A. G. Peeters, C. Angioni, D. Strintzi","The toroidal momentum pinch velocity","4 Pages, 2 Figures. Submitted to Phys. Rev. Letters on the 17th of
  Nov. 2006",,,,"physics.plasm-ph",,"  In this letter a pinch velocity of toroidal momentum is shown to exist for
the first time. Using the gyro-kinetic equations in the frame moving with the
equilibrium toroidal velocity, it is shown that the physics effect can be
elegantly formulated through the ``Coriolis'' drift. A fluid model is used to
highlight the main coupling mechanisms between the density and temperature
perturbations on the one hand and the perturbed parallel flow on the other.
Gyro-kinetic calculations are used to accurately asses the magnitude of the
pinch. The pinch velocity leads to a radial gradient of the toroidal velocity
profile even in the absence of a torque on the plasma. It is shown to be
sizeable in the plasmas of the International Thermonuclear Experimental Reactor
(ITER) leading to a moderately peaked rotation profile. Finally, the pinch also
affects the interpretation of current experiments.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 11:14:44 GMT""}]","2007-05-23"
"physics/0701148","Zoltan Kuscsik","Z. Kuscsik and D. Horvath and M. Gmitra","The critical properties of the agent-based model with
  environmental-economic interactions","12 pages, 6 figures, published in Physica A","Physica A, 2007, Vol 379/1 pp 199-206","10.1134/S1547477108030163",,"physics.soc-ph",,"  The steady-state and nonequilibrium properties of the model of
environmental-economic interactions are studied. The interacting heterogeneous
agents are simulated on the platform of the emission dynamics of cellular
automaton. The model possess the discontinuous transition between the safe and
catastrophic ecology. Right at the critical line, the broad-scale power-law
distributions of emission rates have been identified. Their relationship to
Zipf's law and models of self-organized criticality is discussed.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 12:32:21 GMT""},{""version"":""v2"",""created"":""Fri, 23 Mar 2007 11:49:22 GMT""}]","2009-11-13"
"q-bio/0701017","Emmanuel Tannenbaum","Emmanuel Tannenbaum","Speculations on the emergence of self-awareness in big-brained organisms",,,,,"q-bio.NC q-bio.PE",,"  This paper argues that self-awareness is a learned behavior that emerges in
organisms whose brains have a sufficiently integrated, complex ability for
associative learning and memory. Continual sensory input of information related
to the organism causes the organism's brain to learn the physical
characteristics of the organism, in the sense that neural pathways are produced
that are reinforced by, and therefore recognize, various features associated
with the organism. This results in the formation of a set of associations that
may be termed an organismal self-image, which provides a mechanistic basis for
the emergence of various behaviors that are associated with self-awareness,
such as self-recognition. In humans, self-awareness includes additional
behaviors such as recognition of self-awareness, the concept of I, and various
existential and religious questions. This paper shows how associative memory
and learning, combined with an organismal self-image and, in the case of
humans, language, leads to the emergence of these various behaviors. This paper
also discusses various tautologies that invariably emerge when discussing
self-awareness, that ultimately prevent an unambiguous resolution to the
various existential issues that arise. We continue with various speculations on
manipulating self-awareness, and discuss how concepts from set and logic may
provide a highly useful set of tools in computational neuroscience for
understanding the emergence of higher cognitive functions in complex organisms.
The existence of other types of awareness, and the role of mirror neurons in
the emergence of self-awareness, are also briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:23:03 GMT""},{""version"":""v2"",""created"":""Sat, 24 Mar 2007 16:30:24 GMT""},{""version"":""v3"",""created"":""Sat, 2 Jun 2007 10:54:59 GMT""}]","2007-06-13"
"quant-ph/0701065","Graeme Smith","John A. Smolin, Graeme Smith, Stephanie Wehner","A simple family of nonadditive quantum codes","3 pages, new version with slight clarifications, no results are
  changed","Phys. Rev. Lett. 99, 130505 (2007)","10.1103/PhysRevLett.99.130505",,"quant-ph",,"  Most known quantum codes are additive, meaning the codespace can be described
as the simultaneous eigenspace of an abelian subgroup of the Pauli group. While
in some scenarios such codes are strictly suboptimal, very little is understood
about how to construct nonadditive codes with good performance. Here we present
a family of nonadditive quantum codes for all odd blocklengths, n, that has a
particularly simple form. Our codes correct single qubit erasures while
encoding a higher dimensional space than is possible with an additive code or,
for n of 11 or greater, any previous codes.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 21:18:43 GMT""},{""version"":""v2"",""created"":""Tue, 20 Mar 2007 20:55:51 GMT""}]","2009-11-13"
"quant-ph/0701066","David Kielpinski","D. Kielpinski","Mesoscopic entanglement of noninteracting qubits using collective
  spontaneous emission","replaced; corrected per referee comments","New J. Phys. 9, 408 (2007)","10.1088/1367-2630/9/11/408",,"quant-ph",,"  We describe an experimentally straightforward method for preparing an
entangled W state of up to 100 qubits. Our repeat-until-success protocol relies
on detection of single photons from collective spontaneous emission in free
space. Our method allows entanglement preparation in a wide range of qubit
implementations that lack entangling qubit-qubit interactions. We give detailed
numerical examples for entanglement of neutral atoms in optical lattices and of
nitrogen-vacancy centres in diamond. The simplicity of our method should enable
preparation of mesoscopic entangled states in a number of physical systems in
the near future.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 02:00:57 GMT""},{""version"":""v2"",""created"":""Thu, 28 Jun 2007 23:18:11 GMT""}]","2011-01-25"
"quant-ph/0701067","Hoshang Heydari","Hoshang Heydari","Entanglement witnesses and concurrence for multi-qubit states","5 pages","Quantum Information and Computation 8(8/9) (2008) 0791-0796",,,"quant-ph",,"  We establish a relation between concurrence and entanglement witnesses. In
particular, we construct entanglement witnesses for three-qubit W and GHZ
states in terms of concurrence and different set of operators that generate it.
We also generalize our construction for multi-qubit states.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 05:52:00 GMT""}]","2008-06-05"
"quant-ph/0701068","Peter Rohde","Peter P. Rohde, Sean D. Barrett","Strategies for the preparation of large cluster states using
  non-deterministic gates","9 pages, 7 figures","New J. Phys 9, 198 (2007)","10.1088/1367-2630/9/6/198",,"quant-ph",,"  The cluster state model for quantum computation has paved the way for schemes
that allow scalable quantum computing, even when using non-deterministic
quantum gates. Here the initial step is to prepare a large entangled state
using non-deterministic gates. A key question in this context is the relative
efficiencies of different `strategies', i.e. in what order should the
non-deterministic gates be applied, in order to maximize the size of the
resulting cluster states? In this paper we consider this issue in the context
of `large' cluster states. Specifically, we assume an unlimited resource of
qubits and ask what the steady state rate at which `large' clusters are
prepared from this resource is, given an entangling gate with particular
characteristics. We measure this rate in terms of the number of entangling gate
operations that are applied. Our approach works for a variety of different
entangling gate types, with arbitrary failure probability. Our results indicate
that strategies whereby one preferentially bonds together identical qubits are
considerably more efficient than those in which one does not. Additionally,
compared to earlier analytic results, our numerical study offers substantially
improved resource scaling.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 07:10:17 GMT""}]","2009-11-13"
"quant-ph/0701069","Shao-Ming Fei","Zong-Guo Li, Shao-Ming Fei, Zhi-Xi Wang and Ke Wu","Entanglement conditions for multi-mode states","12 pages","Phys. Rev. A 75(2007)012311","10.1103/PhysRevA.75.012311",,"quant-ph",,"  We provide a class of inequalities for detecting entanglements in multi-mode
systems. Necessary conditions for fully separable, bi-separable and sufficient
conditions for fully entangled states are explicitly presented.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 09:26:23 GMT""}]","2007-05-23"
"quant-ph/0701070","Boris Samsonov F","Boris F. Samsonov and V. V. Shamshutdinova","Towards Dynamical Qubit Controlling with Time-Dependent External Fields","5 pages, 9 figures","J. Phys. A: Math. Theor. 41 (2008) 244023 (9pp)",,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For a flux qubit described by a two-level system of equations we propose a
special time dependent external control field. We show that for a qubit placed
in this field there exists a critical value of tunnel frequency. When the
tunnel frequency is close to its critical value, the probability value of a
definite direction of the current circulating in a Josephson-junction circuit
may be kept above 1/2 during a desirable time interval. We also show that such
a behavior is not much affected by a sufficiently small dissipation.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 10:01:11 GMT""},{""version"":""v2"",""created"":""Thu, 19 Feb 2009 10:58:38 GMT""}]","2009-02-19"
